السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,الرياض,الرياض,ظهرة لبن,شقة,230,153067487.1,33985.904,4627.041817,5437.91,3184.14
2024,3,الربع الثالث,20243,الرياض,الرياض,مغرزات,شقة,9,11190000,1303.9,8671.144784,9958.786062,7834.43
2024,3,الربع الثالث,20243,الرياض,الرياض,النهضة,شقة,52,41210508,7382.1,5258.831565,7348.52,4395.86
2024,3,الربع الثالث,20243,الرياض,الرياض,عكاظ,شقة,93,52121807.73,16046.54,3242.757976,3885.01,2522.23
2024,3,الربع الثالث,20243,الرياض,الرياض,غرناطة,شقة,19,15612152.59,2780.72,5900.485976,6667.18,4277.06
2024,3,الربع الثالث,20243,الرياض,الرياض,نمار,شقة,2,1795000,491.26,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,العمل,عمارة,6,2620004,1301.66,2053.911659,2090.3,2020.63
2024,3,الربع الثالث,20243,الرياض,الرياض,البديعة,عمارة,3,6080000,2751.87,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المهدية,عمارة,7,3990000,336.17,12002.42251,12222.22,11785.25
2024,3,الربع الثالث,20243,الرياض,الرياض,النرجس,عمارة,1,12100000,1678.83,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الوشام,عمارة,1,1450000,425,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,لبن,عمارة,3,1420000,170.62,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,منفوحة,عمارة,1,200000,112,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,اليمامة,عمارة,1,700000,217.22,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الخالدية,عمارة,1,650000,109.25,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,العريجاء الغربي,عمارة,3,580000,84.31,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,عتيقة,عمارة,1,100000,104.6,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الشميسي,عمارة,2,1220000,266.56,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,العود,عمارة,2,1333663.4,207.27,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,أحد,فيلا,25,21356087.02,7763.35,2880.350199,4072.8,1979.51
2024,3,الربع الثالث,20243,الرياض,الرياض,الجرادية,فيلا,13,8125467,2473.88,3160.701942,4194.63,1617.65
2024,3,الربع الثالث,20243,الرياض,الرياض,الجنادرية,فيلا,345,332878136.1,115189.967,2437.401267,3653.33,2194.44
2024,3,الربع الثالث,20243,الرياض,الرياض,الخزامى,فيلا,6,50651165,5312.35,9694.895922,10328.6385,8714.6
2024,3,الربع الثالث,20243,الرياض,الرياض,البرية,فيلا,3,1750000,550.62,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الحائر,فيلا,1,250000,156.29,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,أم الحمام الشرقي,فيلا,9,25740000,2956.26,9097.225704,9695.5,8603.14
2024,3,الربع الثالث,20243,الرياض,الرياض,البيان,فيلا,53,47334245,10368.21,4670.135394,5229.42,4107.71
2024,3,الربع الثالث,20243,الرياض,الرياض,الربيع,فيلا,12,41650000,3714.44,11705.44145,14302.06,7571.428571
2024,3,الربع الثالث,20243,الرياض,الرياض,الروابي,فيلا,6,13068200,2995.32,4319.470699,6086.96,3333.333333
2024,3,الربع الثالث,20243,الرياض,الرياض,الروضة,فيلا,37,111961750,18844.248,5923.985106,7307.864074,4909.18
2024,3,الربع الثالث,20243,الرياض,الرياض,أم الحمام الغربي,فيلا,1,1120000,170.16,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الحمراء,فيلا,26,97723071,15164.1,6915.259974,8202.83,6122.44898
2024,3,الربع الثالث,20243,الرياض,الرياض,إشبيلية,فيلا,46,82744280.42,16700.675,5087.465,7921.97,3061.728395
2024,3,الربع الثالث,20243,الرياض,الرياض,الإسكان,فيلا,1,830000,400,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,البديعة,فيلا,10,20920474,7807.57,3264.815856,5069.76,2800
2024,3,الربع الثالث,20243,الرياض,الرياض,التعاون,فيلا,3,7970000,806.69,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الرمال,فيلا,440,610782530.7,122893.833,4828.394682,6305.95,3500
2024,3,الربع الثالث,20243,الرياض,الرياض,السليمانية,فيلا,43,185640481,22821.39,7959.382019,10835.51,6515.15
2024,3,الربع الثالث,20243,الرياض,الرياض,الخليج,فيلا,31,57320341,12342.94,4312.607175,5925.340707,3520
2024,3,الربع الثالث,20243,الرياض,الرياض,الدار البيضاء,فيلا,121,97601647.72,30673.795,3259.249029,3920,2300
2024,3,الربع الثالث,20243,الرياض,الرياض,الربوة,فيلا,23,63897025,11238.8475,5153.486673,7877.32,4566.74
2024,3,الربع الثالث,20243,الرياض,الرياض,الحزم,فيلا,65,67402945.01,17790.293,3948.930564,4654.79,3190.13
2024,3,الربع الثالث,20243,الرياض,الرياض,الخالدية,فيلا,34,25189227,7446.33,3388.69302,4062.66,2904.43
2024,3,الربع الثالث,20243,الرياض,الرياض,الإزدهار,فيلا,17,41623500,4113.28,11080.5095,12500,9037.78
2024,3,الربع الثالث,20243,الرياض,الرياض,الأندلس,فيلا,12,17971710,3365.92,5517.607894,8243.570015,4800
2024,3,الربع الثالث,20243,الرياض,الرياض,الجزيرة,فيلا,6,7485000,2904,2396.694215,3099.17,2024.79
2024,3,الربع الثالث,20243,الرياض,الرياض,الرحمانية,فيلا,7,55829400,4664.2,10500.67255,12347.22,8700
2024,3,الربع الثالث,20243,الرياض,الرياض,الزاهر,فيلا,1,620000,840,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الرائد,فيلا,4,7399000,647.78,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الريان,فيلا,2,5640000,876.77,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,السعادة,فيلا,61,55663668,11845.41,4837.832453,5644.05,4085.12
2024,3,الربع الثالث,20243,الرياض,الرياض,السلام,فيلا,9,13960000,2590.12,5033.106657,5333.333333,4666.67
2024,3,الربع الثالث,20243,الرياض,الرياض,الشفا,فيلا,53,46407020.67,11985.43,3764.506256,4666.666667,3220.7
2024,3,الربع الثالث,20243,الرياض,الرياض,الخير,فيلا,1,2100000,750,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الشهداء,فيلا,8,22194903,2711.5,7648.578811,8000,7407.407407
2024,3,الربع الثالث,20243,الرياض,الرياض,الصحافة,فيلا,25,393318387,18508.25,8956.686388,12068.97,7436.11
2024,3,الربع الثالث,20243,الرياض,الرياض,الدريهمية,فيلا,1,760000,150.76,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الرفيعة,فيلا,14,47682331,5935.7,7671.451662,9226.97,6354.17
2024,3,الربع الثالث,20243,الرياض,الرياض,الفاروق,فيلا,10,14175000,2960.68,4839.051368,4871.6,4780.98
2024,3,الربع الثالث,20243,الرياض,الرياض,الفلاح,فيلا,1,3310000,364,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الفيحاء,فيلا,15,31933928,6861.25,4629.037953,5584.06,3809.52
2024,3,الربع الثالث,20243,الرياض,الرياض,الزهرة,فيلا,15,13681000,4895.51,2940.317268,4855.36,2000
