stop_id,stop_name,stop_desc,latitude,longitude,zone_id,stop_url,location_type,parent_station,feed
305192,WYTHE AV/ROSS ST,,40.702869,-73.964078,,,0,,brooklyn
305211,JAY ST/FULTON ST,,40.691633,-73.987375,,,0,,brooklyn
305215,COURT ST/ATLANTIC AV,,40.689856,-73.992366,,,0,,brooklyn
305216,ATLANTIC AV/CLINTON ST,,40.690391,-73.994744,,,0,,brooklyn
305217,ATLANTIC AV/HENRY ST,,40.690747,-73.996107,,,0,,brooklyn
305224,COLUMBIA ST/SACKETT ST,,40.684797,-74.002888,,,0,,brooklyn
305226,COLUMBIA ST/CARROLL ST,,40.682794,-74.003854,,,0,,brooklyn
305228,VAN BRUNT ST/SUMMIT ST,,40.682959,-74.006333,,,0,,brooklyn
305229,VAN BRUNT ST/COMMERCE ST,,40.681155,-74.008541,,,0,,brooklyn
305230,VAN BRUNT ST/VERONA ST,,40.679824,-74.010102,,,0,,brooklyn
305232,VAN BRUNT ST/WOLCOTT ST,,40.677144,-74.013242,,,0,,brooklyn
305233,VAN BRUNT ST/COFFEY ST,,40.676082,-74.014489,,,0,,brooklyn
305234,BEARD ST/VAN BRUNT ST,,40.674935,-74.015268,,,0,,brooklyn
305263,GRAHAM AV/GRAND ST,,40.711973,-73.943884,,,0,,brooklyn
305264,GRAHAM AV/AINSLIE ST,,40.713382,-73.944114,,,0,,brooklyn
305265,GRAHAM AV/METROPOLITAN AV,,40.714869,-73.944365,,,0,,brooklyn
305271,GRAHAM AV/ENGERT AV,,40.721765,-73.947018,,,0,,brooklyn
305272,GRAHAM AV/DRIGGS AV,,40.72263,-73.947342,,,0,,brooklyn
305284,MANHATTAN AV/EAGLE ST,,40.735462,-73.955025,,,0,,brooklyn
305286,BOX ST/MANHATTAN AV,,40.737197,-73.955757,,,0,,brooklyn
305287,BOX ST/MANHATTAN AV,,40.737195,-73.95567,,,0,,brooklyn
305299,GRAHAM AV/ENGERT AV,,40.721162,-73.946867,,,0,,brooklyn
305300,GRAHAM AV/MEEKER AV,,40.719586,-73.945703,,,0,,brooklyn
305301,GRAHAM AV/RICHARDSON ST,,40.718471,-73.945083,,,0,,brooklyn
305304,GRAHAM AV/METROPOLITAN AV,,40.7142,-73.944416,,,0,,brooklyn
305305,GRAHAM AV/AINSLIE ST,,40.7128,-73.944183,,,0,,brooklyn
305306,GRAHAM AV/GRAND ST,,40.711306,-73.943936,,,0,,brooklyn
305308,GRAHAM AV/SCHOLES ST,,40.708465,-73.943469,,,0,,brooklyn
305310,GRAHAM AV/JOHNSON AV,,40.706289,-73.943117,,,0,,brooklyn
305311,GRAHAM AV/SEIGEL ST,,40.704148,-73.942762,,,0,,brooklyn
305312,GRAHAM AV/COOK ST,,40.702034,-73.942414,,,0,,brooklyn
305334,4 AV/100 ST,,40.612914,-74.033455,,,0,,brooklyn
305335,4 AV/MARINE AV,,40.614236,-74.032305,,,0,,brooklyn
305338,5 AV/92 ST,,40.618115,-74.029021,,,0,,brooklyn
305341,5 AV/86 ST,,40.621753,-74.0259,,,0,,brooklyn
305344,5 AV/80 ST,,40.626054,-74.023956,,,0,,brooklyn
305346,5 AV/BAY RIDGE PKWY,,40.629815,-74.022412,,,0,,brooklyn
305348,5 AV/BAY RIDGE AV,,40.633754,-74.020803,,,0,,brooklyn
305349,5 AV/SENATOR ST,,40.635003,-74.020295,,,0,,brooklyn
305350,5 AV/66 ST,,40.636271,-74.019391,,,0,,brooklyn
305353,5 AV/60 ST,,40.639689,-74.015843,,,0,,brooklyn
305357,5 AV/52 ST,,40.644183,-74.011174,,,0,,brooklyn
305358,5 AV/50 ST,,40.645297,-74.010014,,,0,,brooklyn
305361,5 AV/44 ST,,40.648651,-74.006515,,,0,,brooklyn
305362,5 AV/41 ST,,40.650345,-74.004764,,,0,,brooklyn
305363,5 AV/39 ST,,40.651479,-74.003571,,,0,,brooklyn
305364,5 AV/36 ST,,40.65281,-74.00217,,,0,,brooklyn
305365,5 AV/34 ST,,40.654298,-74.000645,,,0,,brooklyn
305367,5 AV/30 ST,,40.656546,-73.998313,,,0,,brooklyn
305369,5 AV/26 ST,,40.65878,-73.995981,,,0,,brooklyn
305370,5 AV/24 ST,,40.659836,-73.994871,,,0,,brooklyn
305373,5 AV/18 ST,,40.663243,-73.991377,,,0,,brooklyn
305377,5 AV/11 ST,,40.668191,-73.987012,,,0,,brooklyn
305380,5 AV/5 ST,,40.671805,-73.983994,,,0,,brooklyn
305388,5 AV/BERGEN ST,,40.681909,-73.976651,,,0,,brooklyn
305392,ATLANTIC AV/NEVINS ST,,40.686331,-73.983042,,,0,,brooklyn
305393,ATLANTIC AV/BOND ST,,40.687143,-73.985137,,,0,,brooklyn
305394,ATLANTIC AV/HOYT ST,,40.688014,-73.987376,,,0,,brooklyn
305395,ATLANTIC AV/SMITH ST,,40.688815,-73.989478,,,0,,brooklyn
305396,ATLANTIC AV/BOERUM PL,,40.689271,-73.991016,,,0,,brooklyn
305397,ATLANTIC AV/COURT ST,,40.689806,-73.992532,,,0,,brooklyn
305407,ATLANTIC AV/SMITH ST,,40.688371,-73.988811,,,0,,brooklyn
305408,ATLANTIC AV/HOYT ST,,40.687563,-73.986727,,,0,,brooklyn
305409,ATLANTIC AV/BOND ST,,40.686734,-73.984586,,,0,,brooklyn
305410,ATLANTIC AV/NEVINS ST,,40.68592,-73.982507,,,0,,brooklyn
305411,ATLANTIC AV/3 AV,,40.685314,-73.980912,,,0,,brooklyn
305412,ATLANTIC AV/4 AV,,40.684422,-73.978557,,,0,,brooklyn
305413,5 AV/DEAN ST,,40.681882,-73.976787,,,0,,brooklyn
305423,5 AV/9 ST,,40.66891,-73.986637,,,0,,brooklyn
305426,5 AV/15 ST,,40.665348,-73.989615,,,0,,brooklyn
305427,5 AV/PROSPECT AV,,40.664173,-73.990499,,,0,,brooklyn
305428,5 AV/18 ST,,40.662385,-73.992373,,,0,,brooklyn
305431,5 AV/24 ST,,40.659502,-73.995444,,,0,,brooklyn
305432,5 AV/26 ST,,40.658332,-73.996663,,,0,,brooklyn
305434,5 AV/30 ST,,40.656093,-73.998994,,,0,,brooklyn
305438,5 AV/39 ST,,40.651061,-74.004227,,,0,,brooklyn
305439,5 AV/42 ST,,40.649382,-74.005971,,,0,,brooklyn
305442,5 AV/48 ST,,40.646033,-74.009466,,,0,,brooklyn
305443,5 AV/50 ST,,40.644913,-74.010623,,,0,,brooklyn
305445,5 AV/53 ST,,40.643233,-74.012374,,,0,,brooklyn
305446,5 AV/56 ST,,40.641555,-74.014114,,,0,,brooklyn
305447,5 AV/58 ST,,40.64049,-74.015167,,,0,,brooklyn
305451,5 AV/66 ST,,40.635854,-74.020047,,,0,,brooklyn
305452,5 AV/SENATOR ST,,40.634687,-74.020598,,,0,,brooklyn
305453,5 AV/BAY RIDGE AV,,40.633191,-74.021217,,,0,,brooklyn
305455,5 AV/BAY RIDGE PKWY,,40.6292,-74.022848,,,0,,brooklyn
305458,5 AV/81 ST,,40.624786,-74.024647,,,0,,brooklyn
305460,5 AV/86 ST,,40.621449,-74.026438,,,0,,brooklyn
305477,HARWAY AV/28 AV,,40.589018,-73.986243,,,0,,brooklyn
305479,HARWAY AV/27 AV,,40.590341,-73.988424,,,0,,brooklyn
305480,HARWAY AV/BAY 43 ST,,40.591214,-73.989875,,,0,,brooklyn
305481,HARWAY AV/BAY 41 ST,,40.59212,-73.991369,,,0,,brooklyn
305483,BATH AV/25 AV,,40.594552,-73.99116,,,0,,brooklyn
305484,BATH AV/24 AV,,40.595905,-73.993374,,,0,,brooklyn
305487,BATH AV/BAY PKWY,,40.598853,-73.997645,,,0,,brooklyn
305490,BATH AV/20 AV,,40.601699,-74.00184,,,0,,brooklyn
305493,BATH AV/18 AV,,40.604194,-74.006569,,,0,,brooklyn
305496,BATH AV/16 AV,,40.606955,-74.01111,,,0,,brooklyn
305500,14 AV/BENSON AV,,40.610891,-74.013531,,,0,,brooklyn
305503,86 ST/12 AV,,40.615664,-74.016381,,,0,,brooklyn
305504,86 ST/11 AV,,40.616992,-74.018579,,,0,,brooklyn
305505,86 ST/7 AV,,40.618778,-74.02154,,,0,,brooklyn
305511,86 ST/FORT HAMILTON PKWY,,40.620153,-74.024181,,,0,,brooklyn
305512,86 ST/DAHLGREN PL,,40.6193,-74.022767,,,0,,brooklyn
305513,86 ST/7 AV,,40.618174,-74.020913,,,0,,brooklyn
305514,86 ST/11 AV,,40.616501,-74.018139,,,0,,brooklyn
305515,86 ST/12 AV,,40.615395,-74.016309,,,0,,brooklyn
305519,BATH AV/14 AV,,40.609123,-74.014975,,,0,,brooklyn
305522,BATH AV/16 AV,,40.606442,-74.010541,,,0,,brooklyn
305525,BATH AV/18 AV,,40.603642,-74.005877,,,0,,brooklyn
305528,BATH AV/20 AV,,40.601167,-74.001296,,,0,,brooklyn
305531,BATH AV/BAY PKWY,,40.598227,-73.997018,,,0,,brooklyn
305532,BATH AV/23 AV,,40.596819,-73.994973,,,0,,brooklyn
305537,HARWAY AV/BAY 41 ST,,40.591653,-73.990872,,,0,,brooklyn
305538,HARWAY AV/BAY 43 ST,,40.59075,-73.989382,,,0,,brooklyn
305539,HARWAY AV/27 AV,,40.589858,-73.987906,,,0,,brooklyn
305544,MERMAID AV/STILLWELL AV,,40.576973,-73.981396,,,0,,brooklyn
305554,SMITH ST/WARREN ST,,40.685739,-73.991065,,,0,,brooklyn
305561,DEAN ST/5 AV,,40.682133,-73.976759,,,0,,brooklyn
305582,SAINT MARKS AV/RALPH AV,,40.673638,-73.922269,,,0,,brooklyn
305597,BERGEN ST/NEW YORK AV,,40.676019,-73.947596,,,0,,brooklyn
305598,BERGEN ST/NOSTRAND AV,,40.676171,-73.950325,,,0,,brooklyn
305600,BERGEN ST/FRANKLIN AV,,40.676939,-73.956139,,,0,,brooklyn
305606,BERGEN ST/CARLTON AV,,40.680208,-73.971748,,,0,,brooklyn
305607,BERGEN ST/FLATBUSH AV,,40.680894,-73.974964,,,0,,brooklyn
305608,BERGEN ST/5 AV,,40.681477,-73.976882,,,0,,brooklyn
305610,BERGEN ST/3 AV,,40.683404,-73.981824,,,0,,brooklyn
305612,BERGEN ST/BOND ST,,40.685208,-73.986457,,,0,,brooklyn
305613,BERGEN ST/HOYT ST,,40.686049,-73.988606,,,0,,brooklyn
305616,COURT ST/WARREN ST,,40.686475,-73.993982,,,0,,brooklyn
305617,COURT ST/KANE ST,,40.685184,-73.99462,,,0,,brooklyn
305624,20 ST/8 AV,,40.658161,-73.986513,,,0,,brooklyn
305626,7 AV/PROSPECT AV,,40.661697,-73.985795,,,0,,brooklyn
305627,7 AV/15 ST,,40.663481,-73.984313,,,0,,brooklyn
305628,7 AV/13 ST,,40.664691,-73.983307,,,0,,brooklyn
305629,7 AV/11 ST,,40.665909,-73.982287,,,0,,brooklyn
305630,7 AV/9 ST,,40.667271,-73.981178,,,0,,brooklyn
305632,7 AV/3 ST,,40.67075,-73.978241,,,0,,brooklyn
305633,7 AV/GARFIELD PL,,40.672529,-73.976766,,,0,,brooklyn
305634,7 AV/UNION ST,,40.674858,-73.975088,,,0,,brooklyn
305635,7 AV/LINCOLN PL,,40.675611,-73.974587,,,0,,brooklyn
305636,7 AV/STERLING PL,,40.677315,-73.97344,,,0,,brooklyn
305670,7 AV/FLATBUSH AV,,40.677797,-73.973229,,,0,,brooklyn
305671,7 AV/STERLING PL,,40.676845,-73.973898,,,0,,brooklyn
305672,7 AV/BERKELEY PL,,40.675207,-73.975038,,,0,,brooklyn
305673,7 AV/UNION ST,,40.674188,-73.975723,,,0,,brooklyn
305674,7 AV/GARFIELD PL,,40.672109,-73.97735,,,0,,brooklyn
305675,7 AV/3 ST,,40.670287,-73.978868,,,0,,brooklyn
305676,7 AV/6 ST,,40.668484,-73.980365,,,0,,brooklyn
305677,7 AV/9 ST,,40.666648,-73.981897,,,0,,brooklyn
305678,7 AV/11 ST,,40.665459,-73.982889,,,0,,brooklyn
305679,7 AV/13 ST,,40.664274,-73.983884,,,0,,brooklyn
305680,7 AV/15 ST,,40.663017,-73.984879,,,0,,brooklyn
305681,7 AV/PROSPECT AV,,40.661603,-73.986105,,,0,,brooklyn
305682,7 AV/18 ST,,40.660157,-73.987605,,,0,,brooklyn
305687,WEST BRIGHTON AV/W 2 ST,,40.576331,-73.970244,,,0,,brooklyn
305688,WEST BRIGHTON AV/OCEAN PKWY,,40.576254,-73.968966,,,0,,brooklyn
305694,CONEY ISLAND AV/OCEAN VIEW AV,,40.580181,-73.959734,,,0,,brooklyn
305695,CONEY ISLAND AV/NEPTUNE AV,,40.581856,-73.959802,,,0,,brooklyn
305698,CONEY ISLAND AV/AVENUE Y,,40.589769,-73.960405,,,0,,brooklyn
305699,CONEY ISLAND AV/AVENUE X,,40.591965,-73.960573,,,0,,brooklyn
305700,CONEY ISLAND AV/GRAVESEND NECK RD,,40.594702,-73.960781,,,0,,brooklyn
305701,CONEY ISLAND AV/AVENUE V,,40.596442,-73.960916,,,0,,brooklyn
305702,CONEY ISLAND AV/AVENUE U,,40.598193,-73.961045,,,0,,brooklyn
305703,CONEY ISLAND AV/AVENUE T,,40.6009,-73.961259,,,0,,brooklyn
305704,CONEY ISLAND AV/AVENUE S,,40.60334,-73.961445,,,0,,brooklyn
305705,CONEY ISLAND AV/AVENUE R,,40.605665,-73.96162,,,0,,brooklyn
305706,CONEY ISLAND AV/KINGS HWY,,40.607183,-73.961738,,,0,,brooklyn
305707,CONEY ISLAND AV/AVENUE P,,40.610419,-73.962327,,,0,,brooklyn
305708,CONEY ISLAND AV/AVENUE O,,40.612906,-73.962794,,,0,,brooklyn
305709,CONEY ISLAND AV/AVENUE N,,40.615541,-73.963293,,,0,,brooklyn
305710,CONEY ISLAND AV/CHESTNUT AV,,40.617183,-73.963661,,,0,,brooklyn
305711,CONEY ISLAND AV/AVENUE L,,40.620353,-73.964206,,,0,,brooklyn
305712,CONEY ISLAND AV/AVENUE K,,40.62273,-73.964655,,,0,,brooklyn
305713,CONEY ISLAND AV/AVENUE J,,40.625066,-73.9651,,,0,,brooklyn
305715,CONEY ISLAND AV/AVENUE H,,40.629935,-73.966016,,,0,,brooklyn
305716,CONEY ISLAND AV/FOSTER AV,,40.63223,-73.966631,,,0,,brooklyn
305718,CONEY ISLAND AV/DITMAS AV,,40.635593,-73.967599,,,0,,brooklyn
305719,CONEY ISLAND AV/DORCHESTER RD,,40.637588,-73.968181,,,0,,brooklyn
305720,CONEY ISLAND AV/CORTELYOU RD,,40.639658,-73.968775,,,0,,brooklyn
305721,CONEY ISLAND AV/SLOCUM PL,,40.642011,-73.969451,,,0,,brooklyn
305724,CONEY ISLAND AV/CHURCH AV,,40.646768,-73.970833,,,0,,brooklyn
305725,CONEY ISLAND AV/CATON AV,,40.648599,-73.971358,,,0,,brooklyn
305727,PROSPECT PARK SOUTHWEST/GREENWOOD AV,,40.652993,-73.972686,,,0,,brooklyn
305728,PROSPECT PARK SOUTHWEST/VANDERBILT ST,,40.655038,-73.973276,,,0,,brooklyn
305729,PROSPECT PARK SOUTHWEST/TERRACE PL,,40.656765,-73.973777,,,0,,brooklyn
305730,PROSPECT PARK SOUTHWEST/11 AV,,40.658945,-73.975444,,,0,,brooklyn
305731,PROSPECT PARK SOUTHWEST/10 AV,,40.66007,-73.977772,,,0,,brooklyn
305733,PROSPECT PARK SOUTHWEST/BARTEL PRITCHARD SQ,,40.660699,-73.979409,,,0,,brooklyn
305734,PROSPECT PARK SOUTHWEST/10 AV,,40.659626,-73.977217,,,0,,brooklyn
305735,PROSPECT PARK SOUTHWEST/11 AV,,40.658472,-73.974832,,,0,,brooklyn
305736,PROSPECT PARK SOUTHWEST/TERRACE PL,,40.656027,-73.973766,,,0,,brooklyn
305738,PROSPECT PARK SOUTHWEST/REEVE PL,,40.653608,-73.973039,,,0,,brooklyn
305739,PROSPECT PARK SOUTHWEST/GREENWOOD AV,,40.65231,-73.972694,,,0,,brooklyn
305740,CONEY ISLAND AV/CATON PL,,40.649732,-73.971963,,,0,,brooklyn
305741,CONEY ISLAND AV/CATON AV,,40.64794,-73.971448,,,0,,brooklyn
305742,CONEY ISLAND AV/CHURCH AV,,40.645972,-73.970876,,,0,,brooklyn
305743,CONEY ISLAND AV/BEVERLEY RD,,40.643402,-73.970132,,,0,,brooklyn
