السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الربع الثالث,الرياض,الرياض,الرحمانية,شقة,سكني,2,3123000,231.1,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الدلم,أخرى,أرض,تجاري,3,4640000,34800.91,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,القدس,دوبلكس,سكني,1,1750000,240,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المونسية,دوبلكس,سكني,4,7034000,987.84,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الريان,أرض,تجاري,2,175324000,15264.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الرابية,أرض,سكني,5,2640000,2440.58,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المربع,أرض,تجاري,1,23000000,1309,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المجمعة,الروضة,أرض,سكني,5,1328000,1710,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المصيف,دور,سكني,2,4150000,390.39,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الملك فيصل,دور,سكني,4,4394000,816.09,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,حريملاء,الروضة,أرض,سكني,2,500000,1036.1,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الريان,شقة,سكني,5,6305250,665.72,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,منفوحة,أخرى,أخرى,1,200000,153.87,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السلي,فيلا,سكني,1,3600000,1088,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,غرناطة,دور,سكني,1,1025000,159.05,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المعذر,أرض,سكني,3,5500000,905.9,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,أحد,فيلا,سكني,1,1000000,500,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,البرية,شقة,سكني,1,525000,84.49,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الندوة,دوبلكس,سكني,2,1765000,597.97,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,إشبيلية,دور,سكني,1,1620000,183.52,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السليمانية,أخرى,سكني,2,6940000,887.45,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الندى,فيلا,سكني,4,22409423,2295,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الحمراء,فيلا,سكني,2,5363000,928.125,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,شقراء,البساتين,أرض,تجاري,1,2000000,600,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,عتيقة,عمارة,سكني,1,250000,245.4,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المجمعة,الجامعيين,أرض,سكني,1,140095.82,272,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الصحافة,أرض,سكني,2,5500000,837.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,أخرى,شقة,سكني,2,1046764,337.71,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,نمار,دوبلكس,سكني,1,1600000,250,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,عكاظ,أرض,تجاري,2,5341200,2652,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,البيان,دور,سكني,4,3520000,881.67,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,شبرا,أرض,سكني,1,1290000,334.67,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,القيروان,أخرى,أخرى,1,22000000,3347.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,منفوحة الجديدة,أخرى,أخرى,4,1480000,485.84,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الدلم,أخرى,أرض,زراعي,5,23280000,4047859.41,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,عريض,أرض,تجاري,2,2650000,1800,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العريجاء الأوسط,فيلا,سكني,5,3551700.8,2000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفلاح,أخرى,سكني,3,70352199,5000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الورود,أرض,سكني,2,7596390,799.7135,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الغدير,شقة,سكني,1,1300000,202.04,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الروابي,أرض,سكني,4,2930834,1189.2,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,ظهرة لبن,أرض,سكني,15,53400650,12445.54,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المرقب,أخرى,أخرى,2,830000,94.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,شقراء,الفلاح,أرض,تجاري,1,170000,417.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,غرناطة,شقة,سكني,1,650000,136,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العوالي,مبنى,تجاري,2,4930000,1590.18,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,القادسية,أرض,تجاري,4,19900000,5250,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الروابي,فيلا,سكني,4,11053600,2380,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النظيم,دور,سكني,3,2260930,774.67,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,ثادق,أخرى,فيلا,سكني,1,180000,500,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الحمراء,شقة,سكني,5,3825000,793.108,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,حريملاء,الحزم,أرض,سكني,1,60000,444,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المصيف,شقة,سكني,4,8780000,804.44,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفاروق,مبنى,تجاري,1,2250000,500,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الحزم,أخرى,سكني,1,675000,337.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الرحمانية,فيلا,سكني,1,7581564,780,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الندى,أرض,تجاري,1,43000000,3313.27,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العقيق,مبنى,تجاري,1,15000000,500,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,اليرموك,أرض,سكني,2,3104250,975,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,شقراء,النزهة في القصب,أرض,سكني,3,510000,1921.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفاروق,أرض,تجاري,1,1000000,420,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الحزم,دوبلكس,سكني,2,2150000,420,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,رماح,أخرى,فيلا,سكني,1,10000,291.2,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الزهراء,فيلا,سكني,1,5000000,562.5,NULL,NULL,NULL
