name,lat,lon,capacity
W 34 St & Hudson Blvd E,40.75516719072139,-74.00059908628464,57
Grand Ave & 58 Ave,40.72098,-73.90701,20
44 St & 3 Ave,40.651173,-74.011405,23
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,19
8 Ave & W 33 St,40.75156757136795,-73.99376901480953,96
3 St & 3 Ave,40.6750705,-73.98775226,79
W 133 St & 12 Ave,40.820003,-73.959089,19
17 St & 5 Ave,40.663493,-73.991007,25
W 190 St & Broadway,40.85648733523576,-73.93296986818314,21
Amsterdam Ave & W 119 St,40.8086249,-73.9596214,29
Sterling St & Nostrand Ave,40.66318,-73.95076,23
Bainbridge Ave & E 193 St,40.86415477605928,-73.892452880543,27
E 84 St & 1 Ave,40.77565541,-73.95068615,31
Morris Ave & E 171 St,40.83899,-73.9109,21
73 St & Ridge Blvd,40.63349,-74.02976,16
Harrison St & Hudson St,40.71870987,-74.0090009,39
Ocean Ave & Crooke Ave,40.65326,-73.96172,27
Martense Ave & 108 St,40.74214,-73.85418,20
Ogden Ave & W 165 St,40.834457,-73.928381,19
77 St & 31 Ave,40.75886,-73.89081,20
Clinton Ave & Myrtle Ave,40.693261,-73.968896,33
6 St & 7 Ave,40.6686627,-73.97988067,21
Broadway & W 165 St,40.839137,-73.941409,24
3 Ave & E Tremont Ave,40.84649,-73.89616,27
Clinton St & 4 Place,40.6783563,-74.00014502,25
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,41
E 98 St & Park Ave,40.78813,-73.95206,25
34 Ave & 21 St,40.7628138,-73.9342862,23
E 106 St & Lexington Ave,40.791976,-73.945993,27
78 St & Ridge Blvd,40.62994,-74.03121,12
E 33 St & 5 Ave,40.74765947,-73.98490707,60
W 92 St & Broadway,40.7921,-73.9739,24
Fort Hamilton Pkwy & 85 St,40.62095,-74.02388,14
Lewis Ave & Decatur St,40.6814598,-73.934903,19
W 171 St & St Nicholas Ave,40.842941,-73.938631,31
Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,21
E 54 St & 1 Ave,40.756265,-73.964179,41
37 Ave & 113 St,40.75475,-73.8549,30
South St & Gouverneur Ln,40.70355377,-74.00670227,43
Brooklyn Ave & Beverley Rd,40.64575,-73.94331,20
W 26 St & 10 Ave,40.749717753,-74.002950346,51
Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,39
E 170 St & Sheridan Ave,40.838315,-73.912604,30
Lenox Rd & E 43 St,40.65496,-73.93765,21
W 90 St & Amsterdam Ave,40.79018,-73.97289,34
Nassau Ave & Russell St,40.72557,-73.94434,51
Kingston Ave & E New York Ave,40.66219,-73.94293,21
Van Sinderen Ave & Truxton St,40.6786,-73.90369,23
E 147 St & Bergen Ave,40.814673,-73.91839,25
Grand Concourse & E 161 St,40.82713380423556,-73.9227358996868,27
Atlantic Ave & Furman St,40.69165183,-73.9999786,55
Warren St & W Broadway,40.71473993,-74.00910627,71
Dawson St & Intervale Ave,40.819999,-73.897263,19
Richardson St & N Henry St,40.71907891179564,-73.94223690032959,25
Riverside Dr & W 82 St,40.78720869,-73.98128127,75
Broadway & W 38 St,40.7529728216068,-73.98734897375107,68
Henry Hudson Pkwy E & W 231 St,40.88336,-73.91505,12
E 20 St & Park Ave,40.73827428,-73.98751968,45
21 St & 20 Ave,40.78393602019729,-73.91273114065842,19
8 St & Astoria Blvd,40.7725996921817,-73.93266275525093,19
44 St & 2 Ave,40.652502,-74.013587,19
S 4 St & Roebling St,40.710709,-73.959724,41
Broadway & W 157 St,40.83402740143528,-73.94510813442648,31
E 51 St & Linden Blvd,40.65399,-73.92967,21
60 Ave & Otis Ave,40.73715,-73.85614,21
63 St & Borden Ave,40.72655,-73.90321,21
5 Ave & W 131 St,40.81014,-73.93973,20
62 St & 43 Ave,40.74261,-73.903,20
36 St & 3 Ave,40.655716,-74.006664,30
Nagle Ave & Ellwood St,40.86012,-73.928489,21
Clay Ave & Claremont Pkwy,40.83999,-73.90549,21
E 17 St & Beverley Rd,40.64466,-73.96322,23
Madison Ave & E 99 St,40.78948541553215,-73.95242929458618,35
Pacific St & Utica Ave,40.6767,-73.93051,20
2 Ave & 36 St,40.65708866668485,-74.00870203971863,43
Arthur Ave & E 183 St,40.85307,-73.88953,25
W 100 St & Broadway,40.7973721,-73.97041192,39
Chester Ave & 12 Ave,40.644367,-73.984276,21
W Tremont Ave & Montgomery Ave,40.851788,-73.916418,21
W 107 St & Columbus Ave,40.7997568,-73.9621128676,23
Stanhope St & Fairview Ave,40.70998,-73.91116,17
Carroll St & Utica Ave,40.66619,-73.93162,20
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,27
St Ann's Ave & Bruckner Blvd,40.803399,-73.919763,17
34 St & 48 Ave,40.740821207823245,-73.93147185444832,25
Broad St & Bridge St,40.70365182,-74.01167797,49
Prospect Pl & Nostrand Ave,40.67428,-73.9503,22
Bushwick Ave & Stagg St,40.709897,-73.94008,21
Henry St & Bay St,40.6725058,-74.00494695,19
49 St & 31 Ave,40.758057,-73.909831,19
31 St & Hoyt Ave N,40.7711528,-73.9170074,35
Southern Blvd & E 180 St,40.84605,-73.88426,19
New York Ave & Snyder Ave,40.64868,-73.94635,22
Grove St & Broadway,40.69047,-73.923511,31
Church Ave & Nostrand Ave,40.65074,-73.94986,30
E 7 St & Ave B,40.7251285241158,-73.98131668567657,69
Central Ave & Himrod St,40.69676,-73.92302,25
Amsterdam Ave & W 186 St,40.851113,-73.928808,21
E 138 St & 5 Ave,40.81449,-73.936153,22
Amsterdam Ave & W 175 St,40.844044,-73.933651,23
E 144 St & Brook Ave,40.811675,-73.917037,19
Review Ave & Greenpoint Ave,40.734246796135544,-73.93776814411713,17
63 St & 59 Dr,40.71832,-73.90128,23
Butler St & 27 Ave,40.76521,-73.86483,18
Fort Washington Ave & W 173 St,40.84522,-73.940493,24
Broadway & W 192 St,40.857994,-73.932173,23
Lafayette Ave & Franklin Ave,40.689271,-73.957324,27
Washington Ave & Park Pl,40.675832,-73.963308,33
Jerome Ave & E Mosholu Pkwy N,40.88031,-73.88426,20
37 St & 24 Ave,40.7701477,-73.9120938,19
Flushing Ave & Woodward Ave,40.71246,-73.91873,21
Cortelyou Rd & E 19 St,40.64269,-73.96099,23
3 Ave & E 109 St,40.79338,-73.94329,25
E 88 St & Park Ave,40.781410700190015,-73.95595908164978,38
E 51 St & Lexington Ave,40.75714758,-73.97207836,75
W 163 St & Riverside Dr,40.839278,-73.945446,19
E 35 St & Madison Ave,40.74848023448579,-73.98255586624146,50
Railroad Ave & Kay Ave,40.70514807698391,-73.97078096866608,30
Carlton Ave & Greene Ave,40.685957,-73.971468,25
Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,24
Cooper Ave & 65 Pl,40.69953,-73.88873,23
56 Dr & 59 St,40.72403,-73.90853,19
Duane St & Hudson St,40.71703,-74.00925,44
Goulden Ave & Bedford Park Blvd,40.87387,-73.89533,19
E 40 St & Park Ave,40.750756,-73.978326,123
Wilkins Ave & Crotona Park E,40.835302,-73.895133,19
6 Ave & 60 St,40.638196,-74.013821,22
Wilson Ave & Moffat St,40.68906,-73.90506,32
1 Ave & E 110 St,40.7923272,-73.9383,25
Coffey St & Conover St,40.677236,-74.015665,32
Central Ave & Flushing Ave,40.702831,-73.9333,21
Cauldwell Ave & E 158 St,40.81989,-73.908351,19
6 Ave & Walker St,40.7197920901383,-74.0052238852195,39
Grand Concourse & E 164 St,40.829608,-73.921461,22
India St Pier,40.731734785883454,-73.9612390102593,54
Pacific St & Classon Ave,40.6791944,-73.9587903,21
34 Ave & Vernon Blvd,40.76535380385866,-73.93986314535141,30
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,42
Arthur Ave & E Tremont Ave,40.84616,-73.89322,19
Sedgwick Ave & W Tremont Ave,40.85304455868985,-73.91830623149872,19
Webster Ave & Ford St,40.85556,-73.89615,23
Dyckman St & Staff St,40.868846,-73.931537,19
Herkimer St & Eastern Pkwy,40.67738,-73.90829,20
31 St & Thomson Ave,40.74469738,-73.93540375,47
Hull Ave & E 209 St,40.87689,-73.87444,14
Westchester Ave & E 156 St,40.817802,-73.905203,23
