Periodicity;Year;Quarter;Indicator;Value
Quarterly;2023;Q3;Commercial;83.68906666666666
Quarterly;2023;Q3;Commercial: Plot;82.47021428571429
Quarterly;2023;Q3;Agricultural: Land;96.73435714285715
Quarterly;2023;Q4;Residential: Building;98.32457142857142
Quarterly;2023;Q4;Commercial Plot;104.75
Quarterly;2023;Q4;Commercial: Plot;82.31335714285714
Quarterly;2024;Q1;General index;90.67489285714286
Quarterly;2024;Q1;Residential Plot;100.21
Quarterly;2024;Q1;Residential: Building;98.26971428571429
Quarterly;2024;Q1;Residential: Apartment;86.74514285714285
Quarterly;2024;Q1;Residential: Floor;96.28
Quarterly;2024;Q1;Agricultural: Land;95.97492857142858
Quarterly;2024;Q2;Residential: Building;98.27357142857143
Quarterly;2024;Q2;Residential: Apartment;87.7547142857143
Quarterly;2024;Q3;Residential;91.77633333333333
Quarterly;2024;Q3;Residential: Plot;91.10992857142857
Quarterly;2024;Q3;Residential Plot;101.38
Quarterly;2024;Q3;Residential: Building;98.5732857142857
Quarterly;2024;Q3;Residential: House;94.6772
Quarterly;2024;Q4;Commercial;88.99626666666667
Quarterly;2024;Q4;Commercial Plot;110.17
Annually;2014;-;Residential: Building;100.0005357142857
Annually;2015;-;Residential: Plot;96.7144464285714
Annually;2015;-;Residential: House;99.413825
Annually;2016;-;Residential: Plot;90.33205357142859
Annually;2016;-;Commercial: Building;101.39891666666666
Annually;2017;-;Residential;85.06119642857142
Annually;2017;-;Commercial: Plot;86.40426785714284
Annually;2017;-;Commercial: Building;101.46999999999998
Annually;2017;-;Commercial: Center;100.07095833333335
Annually;2018;-;Residential: Building;99.30678571428572
Annually;2018;-;Residential: Villa;93.42007142857142
Annually;2018;-;Commercial: Plot;85.13921428571429
Annually;2018;-;Commercial: Center;98.63749999999999
Annually;2018;-;Agricultural: Land;98.08174999999999
Annually;2019;-;Residential: Building;98.91903571428568
Annually;2019;-;Commercial;84.48726785714288
Annually;2020;-;Commercial: Gallery/Shop;92.167425
Annually;2020;-;Agricultural;97.86853846153846
Annually;2021;-;General index;88.24269642857142
Annually;2021;-;Residential: Villa;88.20628124999999
Annually;2021;-;Commercial;83.08149999999999
Annually;2022;-;Residential: House;94.02055000000001
Annually;2022;-;Commercial: Building;98.90174999999999
Annually;2024;-;Agricultural;97.91241071428576
Annually;2024;-;Agricultural: Land;97.9124107142857
Quarterly;2014;Q1;Residential: Plot;98.356
Quarterly;2014;Q1;Commercial;98.79057142857144
Quarterly;2014;Q1;Agricultural;99.8556923076923
Quarterly;2014;Q2;Commercial: Building;100.0
Quarterly;2014;Q3;Residential;100.40435714285717
Quarterly;2014;Q3;Residential: Building;100.58771428571427
Quarterly;2014;Q3;Residential: Villa;99.13471428571428
Quarterly;2014;Q4;Residential: Building;103.62199999999999
Quarterly;2014;Q4;Agricultural: Land;100.06415384615387
Quarterly;2015;Q1;General index;98.68907142857142
Quarterly;2015;Q1;Residential;99.15192857142858
Quarterly;2015;Q1;Residential: Building;103.03342857142857
Quarterly;2015;Q1;Residential: Apartment;100.06323076923078
Quarterly;2015;Q1;Commercial;98.50928571428571
Quarterly;2015;Q1;Commercial: Gallery/Shop;99.27509999999998
Quarterly;2015;Q1;Agricultural;100.15953846153846
Quarterly;2015;Q2;Commercial: Plot;96.20221428571428
Quarterly;2015;Q2;Commercial: Gallery/Shop;99.39500000000001
Quarterly;2015;Q2;Agricultural;99.22761538461539
Quarterly;2015;Q3;Residential: Villa;101.62671428571427
Quarterly;2015;Q3;Residential: Apartment;97.31384615384614
Quarterly;2015;Q3;Commercial;94.94564285714286
Quarterly;2015;Q3;Commercial: Building;100.0
Quarterly;2015;Q3;Commercial: Gallery/Shop;98.8466
Quarterly;2015;Q3;Agricultural;99.10792307692307
Quarterly;2015;Q4;Residential: Villa;100.1542857142857
Quarterly;2015;Q4;Agricultural;99.30646153846153
Quarterly;2016;Q1;Residential: Apartment;95.08592307692308
Quarterly;2016;Q1;Commercial: Center;100.27999999999999
Quarterly;2016;Q2;Commercial: Center;100.25
Quarterly;2016;Q2;Agricultural;99.33699999999999
Quarterly;2016;Q4;Commercial;88.18807142857142
Quarterly;2016;Q4;Agricultural;98.84438461538463
Quarterly;2016;Q4;Agricultural: Land;98.84438461538463
Quarterly;2017;Q1;Residential;85.84757142857144
Quarterly;2017;Q1;Residential: Plot;85.70771428571429
Quarterly;2017;Q1;Commercial: Gallery/Shop;94.122
Quarterly;2017;Q2;Commercial;86.61807142857143
Quarterly;2017;Q3;Residential: House;97.0174
Quarterly;2017;Q3;Commercial;86.23664285714287
Quarterly;2017;Q3;Commercial: Center;100.19833333333334
Quarterly;2017;Q4;Residential;84.77685714285712
Quarterly;2017;Q4;Commercial: Gallery/Shop;93.064
Quarterly;2017;Q4;Commercial: Center;99.68883333333333
Quarterly;2017;Q4;Agricultural: Land;98.41153846153846
Quarterly;2018;Q1;Residential: Building;99.25285714285714
Quarterly;2018;Q1;Commercial: Plot;85.6442857142857
Quarterly;2018;Q1;Commercial: Building;101.47000000000001
Quarterly;2018;Q2;Residential;83.86471428571429
Quarterly;2018;Q2;Residential: Plot;83.70735714285715
Quarterly;2018;Q2;Commercial: Building;101.47000000000001
Quarterly;2018;Q3;Residential: Building;99.43000000000002
Quarterly;2018;Q3;Residential: House;96.7517
Quarterly;2018;Q3;Commercial: Building;101.47000000000001
Quarterly;2018;Q4;Residential: Apartment;85.66523076923076
Quarterly;2018;Q4;Commercial: Plot;84.57628571428572
Quarterly;2019;Q1;Residential: Apartment;85.73600000000002
Quarterly;2019;Q1;Commercial: Center;98.74266666666666
Quarterly;2019;Q1;Agricultural: Land;97.8053076923077
Quarterly;2019;Q2;General index;83.86907142857144
Quarterly;2019;Q2;Residential: House;96.5813
Quarterly;2019;Q3;Residential;83.2437142857143
Quarterly;2019;Q4;Residential: Building;99.0942857142857
Quarterly;2019;Q4;Residential: House;95.1742
Quarterly;2019;Q4;Agricultural: Land;97.85415384615384
Quarterly;2020;Q1;General index;84.73335714285713
Quarterly;2020;Q1;Commercial: Plot;84.00735714285715
Quarterly;2020;Q1;Commercial: Center;100.39166666666667
Quarterly;2020;Q1;Agricultural: Land;97.97723076923077
Quarterly;2020;Q2;Residential: Plot;84.83935714285712
Quarterly;2020;Q2;Residential: Apartment;83.41153846153846
Quarterly;2020;Q2;Residential: House;94.557
Quarterly;2020;Q2;Commercial: Building;101.49666666666667
Quarterly;2020;Q2;Commercial: Center;100.39166666666667
Quarterly;2020;Q3;Residential;84.61485714285716
Quarterly;2020;Q4;Residential: Plot;84.56278571428571
Quarterly;2020;Q4;Residential: Apartment;83.63476923076922
Quarterly;2021;Q1;Residential: Apartment;83.76092857142858
Quarterly;2021;Q1;Commercial: Plot;83.2015
Quarterly;2021;Q1;Commercial: Gallery/Shop;92.58836363636364
Quarterly;2021;Q2;Residential: Building;98.58657142857142
Quarterly;2021;Q2;Commercial;82.87513333333332
Quarterly;2021;Q2;Commercial Plot;80.67
Quarterly;2021;Q2;Commercial: Center;100.39316666666667
Quarterly;2021;Q3;Residential: House;94.1871
Quarterly;2021;Q3;Commercial;82.95586666666668
Quarterly;2021;Q3;Commercial Plot;86.07
Quarterly;2021;Q3;Commercial: Gallery/Shop;92.6530909090909
Quarterly;2021;Q3;Commercial: Center;100.39316666666667
Quarterly;2021;Q4;Residential: Building;98.58657142857143
Quarterly;2021;Q4;Agricultural;96.94742857142856
Quarterly;2022;Q1;Residential: Building;98.58657142857143
Quarterly;2022;Q1;Residential: Villa;87.28587499999999
Quarterly;2022;Q1;Residential: Apartment;84.00800000000001
Quarterly;2022;Q1;Residential: Floor;94.07
Quarterly;2022;Q1;Commercial;83.48240000000001
Quarterly;2022;Q1;Commercial: Plot;82.87650000000001
Quarterly;2022;Q1;Commercial: Gallery/Shop;93.28845454545454
Quarterly;2022;Q1;Agricultural;96.63057142857144
Quarterly;2022;Q2;Residential;85.9702
Quarterly;2022;Q2;Residential: Plot;85.14942857142857
Quarterly;2022;Q2;Residential: Villa;88.72225
Quarterly;2022;Q2;Commercial: Plot;82.85114285714288
Quarterly;2022;Q3;Residential: Plot;85.36085714285716
Quarterly;2022;Q3;Residential: Apartment;85.01992857142857
Quarterly;2022;Q3;Residential: Floor;100.21
Quarterly;2022;Q3;Commercial Plot;94.31
Quarterly;2022;Q3;Commercial: Center;100.46750000000002
Quarterly;2022;Q4;General index;91.03824999999999
Quarterly;2022;Q4;Residential: Plot;85.14707142857142
Quarterly;2022;Q4;Residential Plot;98.6
Quarterly;2022;Q4;Residential: Apartment;85.36542857142857
Quarterly;2022;Q4;Agricultural: Land;96.59814285714285
Quarterly;2023;Q1;Commercial Plot;96.28
Quarterly;2023;Q1;Commercial: Gallery/Shop;92.27018181818183
Quarterly;2023;Q1;Agricultural;96.33935714285715
Quarterly;2023;Q2;Residential: Apartment;86.42042857142857
Quarterly;2023;Q2;Commercial: Building;101.51175
Quarterly;2023;Q3;Residential;86.71060000000001
Quarterly;2023;Q3;Residential: Building;98.32457142857142
Quarterly;2023;Q3;Agricultural;96.73435714285718
Quarterly;2023;Q4;Residential: Villa;88.4395
Quarterly;2023;Q4;Commercial: Building;101.15925
Quarterly;2024;Q1;Residential;86.44846666666666
Quarterly;2024;Q1;Commercial Plot;104.88
Quarterly;2024;Q1;Commercial: Center;100.40449999999998
Quarterly;2024;Q1;Agricultural;95.97492857142856
Quarterly;2024;Q2;Residential: Villa;88.21325
Quarterly;2024;Q2;Residential: Floor;96.63
Quarterly;2024;Q2;Commercial: Center;100.4045
Quarterly;2024;Q3;Residential: Villa;88.46837499999998
Quarterly;2024;Q3;Commercial: Gallery/Shop;92.14054545454545
Quarterly;2024;Q3;Agricultural: Land;98.27314285714286
Quarterly;2024;Q4;Residential: Floor;98.73
Quarterly;2024;Q4;Commercial: Center;101.871
Annually;2014;-;Residential;100.00010714285713
Annually;2014;-;Residential: House;100.00050000000002
Annually;2014;-;Commercial: Plot;100.00064285714289
Annually;2015;-;General index;96.29939285714285
Annually;2015;-;Residential;96.69358928571425
Annually;2015;-;Residential: Building;102.87489285714283
Annually;2015;-;Commercial;96.08014285714289
Annually;2015;-;Commercial: Gallery/Shop;99.555675
Annually;2015;-;Commercial: Center;100.67416666666668
Annually;2015;-;Agricultural: Land;99.45038461538462
Annually;2016;-;Residential: Villa;98.23939285714287
Annually;2016;-;Residential: House;98.29019999999998
Annually;2016;-;Commercial;90.73776785714283
Annually;2016;-;Commercial: Gallery/Shop;98.599775
Annually;2016;-;Agricultural;99.17863461538467
Annually;2017;-;Residential: Building;99.44878571428569
Annually;2017;-;Residential: Villa;95.87182142857144
Annually;2017;-;Residential: House;97.027625
Annually;2017;-;Commercial;86.45067857142854
Annually;2017;-;Commercial: Gallery/Shop;93.32872499999999
Annually;2017;-;Agricultural;98.52790384615388
Annually;2018;-;General index;83.96816071428573
Annually;2018;-;Commercial;85.19410714285713
Annually;2018;-;Commercial: Building;101.46999999999998
Annually;2018;-;Agricultural;98.08175
Annually;2019;-;Residential: House;96.17535
Annually;2019;-;Agricultural: Land;97.74940384615383
Annually;2020;-;Residential: Villa;90.53571428571429
Annually;2020;-;Residential: House;94.56845
Annually;2020;-;Commercial;83.57167857142858
Annually;2021;-;Residential: Building;98.58657142857143
Annually;2021;-;Commercial: Building;96.47737499999998
Annually;2022;-;Residential;85.95266666666666
Annually;2022;-;Residential: Plot;85.11080357142853
Annually;2022;-;Residential: Building;98.64132142857143
Annually;2022;-;Residential: Villa;88.09062499999999
Annually;2022;-;Residential: Floor;97.86500000000001
Annually;2022;-;Commercial: Center;100.42979166666665
Annually;2023;-;General index;92.31345535714284
Annually;2023;-;Residential: Building;98.32457142857142
Annually;2023;-;Commercial: Building;101.12237499999999
Annually;2023;-;Commercial: Gallery/Shop;92.21325000000002
Annually;2023;-;Commercial: Center;100.40825
Annually;2023;-;Agricultural;96.39108928571429
Annually;2023;-;Agricultural: Land;96.39108928571432
Annually;2024;-;Residential: Plot;89.63844642857144
Annually;2024;-;Residential: Building;98.50335714285715
Annually;2024;-;Residential: Floor;97.51249999999999
Annually;2024;-;Residential: House;94.532425
Annually;2024;-;Commercial: Plot;84.25908928571427
Quarterly;2014;Q1;Commercial: Center;100.43733333333334
Quarterly;2014;Q1;Agricultural: Land;99.85569230769232
Quarterly;2014;Q2;Commercial;100.41014285714287
Quarterly;2014;Q2;Commercial: Center;99.75066666666667
Quarterly;2014;Q3;Residential: Plot;100.43864285714287
Quarterly;2014;Q3;Residential: Apartment;100.55069230769232
Quarterly;2014;Q3;Agricultural: Land;99.45592307692309
Quarterly;2014;Q4;Residential: House;100.1934
Quarterly;2014;Q4;Commercial: Plot;99.84750000000001
Quarterly;2014;Q4;Commercial: Gallery/Shop;100.24139999999998
Quarterly;2014;Q4;Commercial: Center;100.94216666666667
Quarterly;2015;Q1;Residential: Plot;99.16142857142859
Quarterly;2015;Q1;Commercial: Plot;98.49864285714285
Quarterly;2015;Q1;Commercial: Building;100.0
Quarterly;2015;Q1;Commercial: Center;100.55666666666667
Quarterly;2015;Q2;Commercial: Building;100.0
Quarterly;2015;Q2;Commercial: Center;100.64283333333334
Quarterly;2015;Q3;Residential;95.31599999999999
Quarterly;2015;Q4;Residential;94.8327857142857
Quarterly;2015;Q4;Commercial: Plot;94.60792857142856
Quarterly;2016;Q1;Commercial: Gallery/Shop;102.21200000000002
Quarterly;2016;Q2;General index;90.98807142857143
Quarterly;2016;Q2;Commercial;91.66807142857144
Quarterly;2016;Q2;Agricultural: Land;99.337
Quarterly;2016;Q3;Residential: Apartment;92.89284615384616
Quarterly;2016;Q3;Commercial: Building;101.47000000000001
Quarterly;2016;Q3;Agricultural;99.03984615384616
Quarterly;2016;Q3;Agricultural: Land;99.03984615384616
Quarterly;2016;Q4;Commercial: Center;100.19833333333332
Quarterly;2017;Q1;Residential: Building;99.88142857142859
Quarterly;2017;Q1;Commercial: Plot;86.82428571428572
Quarterly;2017;Q1;Commercial: Building;101.47000000000001
Quarterly;2017;Q1;Agricultural: Land;98.55946153846153
Quarterly;2017;Q2;Commercial: Gallery/Shop;93.1006
Quarterly;2017;Q3;Residential: Villa;95.86714285714287
Quarterly;2017;Q3;Commercial: Plot;86.1922857142857
Quarterly;2017;Q3;Commercial: Building;101.47000000000001
Quarterly;2017;Q4;Residential: House;96.8327
Quarterly;2018;Q1;Residential: Villa;94.30442857142859
Quarterly;2018;Q1;Residential: Apartment;86.77892307692306
Quarterly;2018;Q1;Residential: House;96.44399999999999
Quarterly;2018;Q2;Residential: Villa;93.51914285714285
Quarterly;2018;Q3;Residential;83.11707142857142
Quarterly;2018;Q3;Commercial: Plot;85.06528571428574
Quarterly;2018;Q4;General index;83.08542857142858
Quarterly;2018;Q4;Commercial;84.63550000000001
Quarterly;2018;Q4;Agricultural;97.93853846153844
Quarterly;2019;Q1;Residential;82.59678571428572
Quarterly;2019;Q1;Residential: Building;98.92571428571429
Quarterly;2019;Q1;Commercial: Building;101.47000000000001
Quarterly;2019;Q2;Residential: Plot;83.11364285714285
Quarterly;2019;Q3;General index;83.83542857142858
Quarterly;2019;Q3;Residential: Plot;83.04107142857143
Quarterly;2019;Q3;Residential: Villa;92.61342857142859
Quarterly;2019;Q3;Commercial;84.64492857142857
