dbn,school_name,latitude,longitude,attendance_rate_hs,attendance_rate_k8,graduation_rate
09X250,Eximius College Preparatory Academy: A College Board School,40.833665,-73.902499,0.868,,0.886
12X521,The Metropolitan Soundview High School,40.831601,-73.878912,0.901,,0.77
05M362,Columbia Secondary School,40.810431,-73.955809,0.943,0.98,0.968
02M630,Art and Design High School,40.75924,-73.967203,0.927,,0.93
14K586,Lyons Community School,40.709941,-73.943641,0.675,0.805,0.786
15K519,Cobble Hill School of American Studies,40.684524,-73.990993,0.742,,0.84
09X517,Frederick Douglass Academy III Secondary School,40.833511,-73.90449,0.81,,0.753
11X509,High School of Language and Innovation,40.859665,-73.861006,0.892,,0.945
07X223,The Laboratory School of Finance and Technology,40.813983,-73.920782,0.881,0.896,0.955
24Q264,Academy of Finance and Enterprise,40.745095,-73.936635,,,
08X405,Herbert H. Lehman High School,40.840702,-73.838545,0.874,,0.802
30Q258,Energy Tech High School,40.757065,-73.932664,,,
18K567,Brooklyn Theatre Arts High School,40.633285,-73.916735,,,
13K483,The Urban Assembly School for Law and Justice,40.694682,-73.988853,0.887,,0.926
29Q313,Benjamin Franklin High School for Finance & Information Technology,40.697819,-73.745728,,,
21K337,International High School at Lafayette,40.594291,-73.98577,,,
08X559,School for Tourism and Hospitality,40.821675,-73.903546,0.858,,0.468
19K683,School for Classics High School,40.670724,-73.874208,,,
13K594,Gotham Professional Arts Academy,40.678488,-73.962105,0.8,,0.882
01M509,Marta Valle High School,40.720581,-73.985645,,,
17K539,High School for Service & Learning at Erasmus,40.649787,-73.95855,0.814,,0.841
14K610,A-TECH High School,40.721981,-73.953281,0.832,,0.855
03M859,Special Music School,40.774351,-73.984753,0.98,0.994,1.0
10X284,Bronx School of Law and Finance,40.877105,-73.912256,0.826,,0.83
02M419,Landmark High School,40.742867,-74.002136,0.698,,0.849
32K556,Bushwick Leaders High School for Academic Excellence,40.695056,-73.92814,,,
10X225,Theatre Arts Production Company School,40.854515,-73.896703,0.772,0.878,0.817
28Q167,Metropolitan Expeditionary Learning School,40.711367,-73.856698,,,
15K684,Millennium Brooklyn High School,40.669629,-73.979287,0.995,,0.994
12X388,Pan American International High School at Monroe,40.831601,-73.878912,0.826,,0.904
07X473,Mott Haven Village Preparatory High School,40.81825,-73.91103,0.817,,0.614
24Q600,Queens Technical High School,40.742205,-73.928219,,,
08X293,Renaissance High School for Musical Theater and the Arts,40.840702,-73.838545,0.821,,0.86
26Q415,Benjamin N. Cardozo High School,40.752333,-73.75599,,,
11X299,Astor Collegiate Academy,40.859665,-73.861006,0.833,,0.789
09X324,Bronx Early College Academy for Teaching & Learning,40.828696,-73.917668,0.821,0.844,0.985
02M500,Unity Center for Urban Technologies,40.746176,-73.981241,0.857,,0.949
02M600,The High School of Fashion Industries,40.745156,-73.996074,0.769,,0.952
19K618,Academy of Innovative Technology,40.691146,-73.868328,,,
02M305,The Urban Assembly Academy of Government and Law,40.717349,-73.989596,0.876,,0.883
18K629,Cultural Academy for the Arts and Sciences,40.648657,-73.922171,,,
09X403,Bronx International High School,40.827642,-73.904473,0.75,,0.888
31R445,Port Richmond High School,40.634573,-74.141818,,,
05M692,"High School for Math, Science and Engineering at City College (HSMSE)",40.82074,-73.949097,0.927,,1.0
23K647,Metropolitan Diploma Plus High School,40.656068,-73.907245,,,
31R028,The Eagle Academy for Young Men of Staten Island,40.624263,-74.082667,,,
17K524,International High School at Prospect Heights,40.670349,-73.961695,0.805,,0.807
21K468,Kingsborough Early College School,40.594291,-73.98577,,,
02M519,Talent Unlimited High School,40.765359,-73.960059,0.772,,0.982
02M655,Life Sciences Secondary School,40.783625,-73.945637,0.709,,0.824
11X513,New World High School,40.887831,-73.852694,0.888,,0.859
10X439,Bronx High School for Law and Community Service,40.860043,-73.888267,0.911,,0.976
10X524,Crotona International High School,40.855698,-73.882715,0.834,,0.868
24Q267,High School of Applied Communication,40.745095,-73.936635,,,
02M300,The Urban Assembly School of Design and Construction,40.76525,-73.993105,0.843,,0.842
27Q400,August Martin High School,40.675633,-73.783342,,,
08X349,Bronx River High School,40.840702,-73.838545,0.856,,0.847
24Q530,International High School at LaGuardia Community College,40.744412,-73.93364,,,
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",40.746088,-73.727535,,,
02M413,School of the Future High School,40.738952,-73.985479,0.919,0.963,0.97
24Q485,Grover Cleveland High School,40.711033,-73.908814,,,
09X505,"Bronx School for Law, Government and Justice",40.827607,-73.918681,0.865,0.953,0.842
02M282,Urban Assembly Maker Academy,40.711442,-74.000851,0.813,,0.943
03M403,The Global Learning Collaborative,40.785803,-73.974614,0.778,,0.894
10X437,Fordham High School for the Arts,40.860043,-73.888267,0.917,,0.952
28Q690,High School for Law Enforcement and Public Safety,40.686208,-73.784144,,,
21K572,Leaders High School,40.594291,-73.98577,,,
09X263,Validus Preparatory Academy,40.839244,-73.901316,0.863,,0.711
02M439,Manhattan Village Academy,40.741497,-73.991512,0.967,,1.0
15K497,The Boerum Hill School for International Studies,40.685419,-73.993351,0.865,0.913,0.922
14K071,Juan Morel Campos Secondary School,40.703624,-73.953146,0.779,0.85,0.531
06M348,Washington Heights Expeditionary Learning School (WHEELS),40.848908,-73.930948,0.845,0.912,0.921
27Q308,Robert H. Goddard High School of Communication Arts and Technology,40.67124,-73.845141,,,
04M680,"Heritage School, The",40.791881,-73.946558,0.876,,0.75
11X545,Bronx Aerospace High School,40.875953,-73.86197,0.877,,0.795
13K350,Urban Assembly School for Music and Art,40.697339,-73.985016,0.798,,0.792
06M468,High School for Health Careers and Sciences,40.855855,-73.92712,0.918,,0.723
27Q334,Epic High School - North,40.693006,-73.829407,,,
22K425,James Madison High School,40.609912,-73.948512,,,
02M432,Murray Hill Academy,40.746176,-73.981241,0.819,,0.84
20K505,Franklin Delano Roosevelt High School,40.620446,-73.981795,,,
09X404,School for Excellence,40.827642,-73.904473,0.847,,0.6
02M400,High School for Environmental Studies,40.767791,-73.987531,0.898,,0.93
16K688,The Brooklyn Academy of Global Finance,40.691274,-73.933697,0.86,,0.833
09X564,Claremont International High School,40.840422,-73.91091,0.788,,0.867
25Q460,Flushing High School,40.765166,-73.82789,,,
29Q259,Pathways College Preparatory School: A College Board School,40.70646,-73.753579,,,
10X696,High School of American Studies at Lehman College,40.873938,-73.895382,0.994,,0.989
02M534,Harvest Collegiate High School,40.736518,-73.994858,0.668,,0.916
07X500,Hostos-Lincoln Academy of Science,40.815498,-73.91224,0.882,0.907,0.796
30Q301,Academy for Careers in Television and Film (ACTV),40.742956,-73.959196,,,
10X368,In-Tech Academy (M.S. / High School 368),40.879368,-73.909896,0.806,0.868,0.821
09X241,The Urban Assembly School for Applied Math and Science,40.839244,-73.901316,0.875,0.917,0.884
31R600,Ralph R. McKee Career and Technical Education High School,40.642793,-74.07873,,,
02M392,Manhattan Business Academy,40.742867,-74.002136,0.866,,0.932
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,40.76337,-73.9906,0.764,,0.876
03M479,Beacon High School,40.761452,-73.995802,0.938,,0.984
19K504,High School for Civil Rights,40.667456,-73.894747,,,
07X600,Alfred E. Smith Career and Technical Education High School,40.818232,-73.919867,0.833,,0.941
02M544,Independence High School,40.768343,-73.989108,,,
28Q328,High School for Community Leadership,40.713218,-73.797237,,,
14K477,East Williamsburg Scholars Academy,40.712184,-73.939722,0.83,,0.78
15K448,Brooklyn Collaborative Studies,40.68007,-74.001377,0.728,0.864,0.925
12X267,Bronx Latin,40.827743,-73.900105,0.91,0.914,0.933
17K590,Medgar Evers College Preparatory School,40.667195,-73.951167,0.908,0.967,0.962
28Q680,Queens Gateway to Health Sciences Secondary School,40.718831,-73.806499,,,
25Q252,"Queens School of Inquiry, The",40.724458,-73.810216,,,
04M372,Esperanza Preparatory Academy,40.79307,-73.942303,0.799,0.857,0.847
12X550,High School of World Cultures,40.831601,-73.878912,0.861,,0.916
19K409,East New York Family Academy,40.674135,-73.89643,,,
19K764,The Urban Assembly School for Collaborative Healthcare,40.691146,-73.868328,,,
