osm_id,osm_type,name,name_en,place,admin_level,latitude,longitude
13254477,relation,العريجاء الغربية,Al Uarayja al Gharbiyah District,neighbourhood,10,24.5971364,46.5995652
13254478,relation,طويق,Tuwayq District,neighbourhood,10,24.5694366,46.518817
13254479,relation,السلام,السلام,neighbourhood,10,24.7077853,46.8112203
13254480,relation,الفواز,Al Fawwaz,neighbourhood,11,24.4898089,46.6184162
13254481,relation,ديراب,Dirab,neighbourhood,11,24.4994054,46.6249989
13254482,relation,ظهرة نمار,Dhrat Nemar,neighbourhood,10,24.5583332,46.6181646
13254483,relation,الحزم,Al Hazm District,neighbourhood,10,24.5382004,46.6468468
13254484,relation,نمار,Namar District,neighbourhood,10,24.5688707,46.6804439
13254485,relation,أحد,أحد,neighbourhood,10,24.4870247,46.6333184
13254486,relation,عكاظ,Okaz District,neighbourhood,10,24.5133864,46.6646557
13254487,relation,الشفا,Ash Shifa District,neighbourhood,10,24.5625039,46.6957031
13254488,relation,المروة,Al Marwah District,neighbourhood,10,24.538269,46.6736965
13254489,relation,بدر,Badr District,neighbourhood,10,24.5362158,46.711707
13254490,relation,المصانع,Al Masani District,neighbourhood,10,24.5529517,46.7441684
13254491,relation,المنصورية,Al Mansuriyah District,neighbourhood,10,24.5194399,46.801484
13254492,relation,طيبة,Taybah District,neighbourhood,10,24.5417262,46.8305772
13254493,relation,الدار البيضاء,Ad Dar Al Baida District,neighbourhood,10,24.5650115,46.7922736
13254494,relation,المناخ,Al Manakh District,neighbourhood,10,24.6090682,46.7946442
13254495,relation,العزيزية,Al Aziziyah District,neighbourhood,10,24.5867109,46.7728511
13254496,relation,الدفاع,Ad Difa' District,neighbourhood,10,24.5926575,46.8324312
13254497,relation,الاسكان,Al Iskan District,neighbourhood,10,24.573835,46.8477698
14187222,relation,At Turayf Al Jadid,At Turayf Al Jadid,neighbourhood,10,24.744713,46.575436
14187232,relation,Ad Diriyah Al Jadida,Ad Diriyah Al Jadida,,10,24.748754,46.5308796
19523174,relation,الرفايع,Al Rafaye,,10,24.3135203,47.1737479
