SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Bradhurst Ave Garden,M,PARK,0.09,40.8276657685918,-73.93932630824948
Laredo Avenue Parcel,R,PARK,2.223,40.54846166608132,-74.17394667575839
Sugar Hill Garden,M,PARK,0.069,40.826269852028595,-73.94228466031406
6BC Botanical Garden,M,PARK,0.178,40.72384189020559,-73.98067513189581
W 87th Street Garden,M,PARK,0.095,40.787091356550135,-73.97092623701407
The Creative Little Garden,M,PARK,0.063,40.72465096667235,-73.98258759802599
Triangle,B,PARK,0.019,40.61660222132275,-73.91672889819883
Norelli-Hargreaves Memorial Triangle,Q,PARK,0.036,40.69566807500006,-73.80537404506093
Fleetwood Triangle,Q,PARK,0.027,40.72270383935946,-73.8672732192351
Corporal Frank F. Fagan Sq.,Q,PARK,0.004,40.756020892121136,-73.9124286112036
Miele Park,X,PARK,0.39,40.83475045004863,-73.82606006124111
Park,Q,PARK,0.008,40.67076073625682,-73.84670516372051
Heritage Park,R,PARK,9.934,40.64115205427113,-74.12259776079142
Broad Channel Veteran's Park,Q,PARK,0.565,40.6110392104363,-73.8188867405075
WNYC Transmitter Park,B,PARK,6.611,40.72978384467292,-73.9619911119787
Studley Triangle,Q,PARK,0.024,40.76238351963786,-73.80385629508929
Classon Playground,B,PARK,2.982,40.699070790731696,-73.96206992563933
Frank Principe Park,Q,PARK,7.461,40.727459164827124,-73.90474448078103
Drumm Triangle,Q,PARK,0.166,40.699363392174824,-73.88824991306197
Garden Of Eden,X,PARK,0.207,40.843463581173,-73.90739364511214
Legion Triangle,Q,PARK,0.05,40.686417087505305,-73.86669817966937
Trolley Car Triangle,Q,PARK,0.032,40.762293437037386,-73.87242951450462
Mentone Playground,Q,PARK,1.102,40.66623093997229,-73.74288407858505
Sylvan Grove Cemetery,R,PARK,2.476,40.591379497874314,-74.19215875976434
Siedenburg Park,R,PARK,22.882,40.55614200956364,-74.14426971083698
Ashmead Park,Q,PARK,0.059,40.70289310072558,-73.79035848229935
Carroll Park,B,PARK,1.874,40.68109854794106,-73.9954745954072
Green Valley Garden,B,PARK,0.19,40.658261147484716,-73.90159794782366
LaGuardia Landing Lights,Q,PARK,1.607,40.764009207291416,-73.8883353558077
Heffernan Triangle,B,PARK,0.029,40.64595336389607,-73.99479470723712
LaGuardia Landing Lights,Q,PARK,0.249,40.76545112093929,-73.88756484948846
Huguenot Ponds Park,R,PARK,1.53,40.53037592620683,-74.18958245722489
Bushwick Playground,B,PARK,2.783,40.696004243198715,-73.91213698012263
Carlton Park,R,PARK,1.25,40.55191548987218,-74.18447234054757
Dr. Charles R. Drew Park,Q,PARK,6.336,40.68072291959762,-73.80303336092972
Linwood Playground,B,PARK,0.705,40.666107124428514,-73.88037103777819
Bkln Bears Rockwell Pl Garden,B,PARK,0.082,40.68694599360226,-73.97926440290274
Park,Q,PARK,0.957,40.65683038424204,-73.8310065876017
Triborough Bridge Playground E,Q,PARK,0.46,40.77300381613907,-73.92087468170888
Maria Hernandez Park,B,PARK,6.873,40.70317144152261,-73.92386339567112
Euclid Garden,B,PARK,0.181,40.673663424434466,-73.87185666038799
Grand Canal Court,M,PARK,0.134,40.72230385907445,-74.00503913035399
Powell Street Livonia Garden,B,PARK,0.459,40.66336177855616,-73.9018459920817
Poor Richard's Playground,M,PARK,1.58,40.792664650119235,-73.94284293127788
Triborough Bridge Playground C,Q,PARK,0.46,40.77397758333358,-73.9222387703809
Triborough Bridge Playground D,Q,PARK,0.46,40.773493045978306,-73.92155654254658
Lt. Clinton L .Whiting Square,Q,PARK,0.049,40.68724486607069,-73.85823015380048
Woodside Houses Park,Q,PARK,0.145,40.755770799576325,-73.91159715803295
Park,X,PARK,2.25,40.817714755275304,-73.9315436665465
Gemini Fields,Q,PARK,10.761,40.67069280911945,-73.85278693690543
Elton Playground,B,PARK,0.622,40.66593255603378,-73.88073888405779
Pat Williams Playground,Q,PARK,0.514,40.71303533971816,-73.72951806803535
Holy Cow Playground,Q,PARK,2.7,40.74150758779572,-73.77699980044908
Sage Garden,M,PARK,0.054,40.72282401524016,-73.98087099960233
Lincoln Terrace / Arthur S. Somers Park,B,PARK,17.14,40.666787483618776,-73.92692598758377
Homecrest Playground,B,PARK,2.372,40.586100196830834,-73.95729161606158
Triangle,B,PARK,0.017,40.668730227663026,-73.87742717354047
Eastern Parkway Coalition,B,PARK,0.44,40.67034609880567,-73.9592440130814
Columbus Park,B,PARK,4.14,40.693651795146614,-73.98996862406979
St Nicholas-olive St Garden,B,PARK,0.089,40.71330049015078,-73.9390516321952
Park,B,PARK,3.575,40.57365778145761,-73.98076634003135
Havemeyer Garden Association,X,PARK,0.136,40.817590144248,-73.84419711375863
Weeksville Playground,B,PARK,0.295,40.67724805149179,-73.91947406534806
Pirate's Cove Garden,B,PARK,0.032,40.68138681061962,-74.00418998664654
Hybrid Oak Woods Park,R,PARK,9.763,40.503244281025864,-74.23415637010864
Park,B,PARK,0.09,40.70117007159968,-73.98689705123658
Pelham Bay Park,X,PARK,"2,771.747",40.86811338250619,-73.80417989803253
Sherman Creek,M,PARK,15.383,40.85823313109627,-73.92138623427093
