id,latitude,longitude,price,room_type,neighbourhood_cleansed,neighbourhood_group_cleansed
869434362358340890,40.68918499999999,-73.9365979,,Private room,Bedford-Stuyvesant,Brooklyn
869436219398511813,40.76365152597299,-73.97799352545907,,Private room,Midtown,Manhattan
869437892385447179,40.68919,-73.9366,,Private room,Bedford-Stuyvesant,Brooklyn
869485537018723078,40.6951,-73.90762,,Private room,Bushwick,Brooklyn
869517168278341365,40.59798,-73.80154,,Private room,Arverne,Queens
869545990885002095,40.70652739350415,-73.93091542698365,,Entire home/apt,Williamsburg,Brooklyn
869611205356082975,40.85148,-73.93342,,Entire home/apt,Washington Heights,Manhattan
871923582054657873,40.609767412286054,-73.76810105767213,,Private room,Bayswater,Queens
871933212421118004,40.743466017725225,-73.78836972106632,,Private room,Fresh Meadows,Queens
871947516587211409,40.87643,-73.85734,,Private room,Williamsbridge,Bronx
871990853610302281,40.663586,-73.8345318,,Entire home/apt,Howard Beach,Queens
872069543250517180,40.7099202,-73.8971959,,Private room,Ridgewood,Queens
872353328761318419,40.74115339999999,-73.9792211,,Entire home/apt,Kips Bay,Manhattan
872354212473704575,40.61560422252348,-74.13605853509988,,Entire home/apt,Westerleigh,Staten Island
872364633069066620,40.87789,-73.8567,,Private room,Williamsbridge,Bronx
872433134615415805,40.75939944361556,-73.96112495648526,,Entire home/apt,Upper East Side,Manhattan
872437778753078941,40.759435054997795,-73.9615506832424,,Entire home/apt,Upper East Side,Manhattan
872484146849792661,40.64701,-74.01293,,Private room,Sunset Park,Brooklyn
872614266621442181,40.70859,-74.00722,,Entire home/apt,Financial District,Manhattan
869681711796123936,40.64928193844101,-74.0089042005286,,Private room,Sunset Park,Brooklyn
869724433981873555,40.74120362314205,-73.99843350263988,,Entire home/apt,Chelsea,Manhattan
869914087181379816,40.6704667,-73.7595302,,Private room,Springfield Gardens,Queens
870114342679438920,40.62174391952977,-74.02403376110539,,Entire home/apt,Bay Ridge,Brooklyn
870204063188789346,40.67044580378422,-73.79195407032967,,Entire home/apt,South Ozone Park,Queens
875244209407489646,40.68829,-73.91604,,Private room,Bushwick,Brooklyn
875397670499949808,40.78510777460252,-73.97305245931562,,Entire home/apt,Upper West Side,Manhattan
875402584193811191,40.76403740806733,-73.82343168220591,,Entire home/apt,Flushing,Queens
875412715888417388,40.832121987038626,-73.92667245156589,,Private room,Highbridge,Bronx
872649906150203058,40.75809,-73.80465,,Private room,Flushing,Queens
872682429699521331,40.876955170157416,-73.85623522102833,,Private room,Williamsbridge,Bronx
