Year;Profession;Nationality;Gender;Average Salary
2022;Other;Non-Saudis;Male;2657.828
2014;Other;Non-Saudis;Female;2438.243
2016;Other;Non-Saudis;Female;1928.828
2018;Total labour force;Saudis;Male;7210.434
2020;Total labour force;Saudis;Female;4411.0
2022;Total labour force;Saudis;Female;5172.521
2022;Total labour force;Non-Saudis;Male;2536.343
2017;Scientific, technical and human specialists;Saudis;Male;12999.346
2015;Scientific, technical and human specialists;Saudis;Female;4757.19
2019;Scientific, technical and human specialists;Saudis;Female;5262.0
2021;Scientific, technical and human specialists;Saudis;Female;6899.318
2022;Scientific, technical and human specialists;Saudis;Female;7752.53
2016;Scientific, technical and human specialists;Non-Saudis;Male;9818.695
2014;Scientific, technical and human specialists;Non-Saudis;Female;6465.757
2016;Scientific, technical and human specialists;Non-Saudis;Female;8038.767
2019;Scientific, technical and human specialists;Non-Saudis;Female;9303.682
2020;Scientific, technical and human specialists;Non-Saudis;Female;9542.0
2021;Scientific, technical and human specialists;Non-Saudis;Female;9828.755
2022;Scientific, technical and human specialists;Non-Saudis;Female;10423.819
2014;Scientific, technical and human technicians;Non-Saudis;Male;3190.66
2022;Clerical jobs;Saudis;Female;4844.311
2016;Clerical jobs;Non-Saudis;Female;3645.696
2020;Auxiliary basic engineering jobs;Saudis;Male;5811.0
2015;Auxiliary basic engineering jobs;Saudis;Female;3399.351
2014;Auxiliary basic engineering jobs;Non-Saudis;Male;1068.392
2014;Auxiliary basic engineering jobs;Non-Saudis;Female;1442.079
2015;Auxiliary basic engineering jobs;Non-Saudis;Female;1613.407
2016;Auxiliary basic engineering jobs;Non-Saudis;Female;1799.331
2014;Administrative and business directors;Saudis;Male;10120.13
2021;Administrative and business directors;Saudis;Male;14755.802
2017;Administrative and business directors;Saudis;Female;4513.78
2020;Administrative and business directors;Saudis;Female;6120.0
2017;Administrative and business directors;Non-Saudis;Male;9161.418
2018;Sales jobs;Saudis;Female;3431.181
2016;Sales jobs;Non-Saudis;Male;2755.785
2019;Sales jobs;Non-Saudis;Male;3197.63
2016;Sales jobs;Non-Saudis;Female;3593.869
2018;Sales jobs;Non-Saudis;Female;3888.905
2021;Sales jobs;Non-Saudis;Female;4791.553
2017;Services jobs;Saudis;Male;4941.948
2019;Services jobs;Saudis;Male;5543.086
2015;Services jobs;Saudis;Female;3218.693
2016;Services jobs;Saudis;Female;3295.813
2017;Services jobs;Saudis;Female;3272.69
2022;Services jobs;Saudis;Female;4330.233
2016;Services jobs;Non-Saudis;Male;1291.221
2017;Services jobs;Non-Saudis;Male;1359.772
2019;Services jobs;Non-Saudis;Male;1590.217
2022;Services jobs;Non-Saudis;Male;1934.998
2014;Services jobs;Non-Saudis;Female;1476.727
2018;Services jobs;Non-Saudis;Female;1827.49
2022;Agricultural & animal husbandry Poultry and fishing;Saudis;Male;5476.499
2017;Agricultural & animal husbandry Poultry and fishing;Saudis;Female;3204.214
2014;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Male;686.077
2016;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Male;775.327
2017;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Male;840.427
2020;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Male;955.0
2019;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Female;1063.62
2020;Agricultural & animal husbandry Poultry and fishing;Non-Saudis;Female;1399.0
2014;Industrial and chemical processes and food industries;Saudis;Male;6915.683
2017;Industrial and chemical processes and food industries;Saudis;Male;8109.467
2018;Industrial and chemical processes and food industries;Saudis;Male;8426.772
2019;Industrial and chemical processes and food industries;Saudis;Male;8574.423
2022;Industrial and chemical processes and food industries;Saudis;Male;10472.679
2016;Industrial and chemical processes and food industries;Saudis;Female;3427.13
2022;Industrial and chemical processes and food industries;Saudis;Female;4524.791
2018;Industrial and chemical processes and food industries;Non-Saudis;Male;1827.44
2022;Industrial and chemical processes and food industries;Non-Saudis;Male;2400.544
2014;Industrial and chemical processes and food industries;Non-Saudis;Female;1017.064
2020;Other;Saudis;Male;6837.0
2022;Other;Saudis;Male;7465.342
2022;Other;Saudis;Female;5130.481
2017;Other;Non-Saudis;Male;639.679
2021;Other;Non-Saudis;Female;6150.995
2022;Other;Non-Saudis;Female;4312.395
2014;Total labour force;Saudis;Male;6157.74
2018;Total labour force;Saudis;Female;3995.178
2014;Total labour force;Non-Saudis;Male;1646.688
2018;Total labour force;Non-Saudis;Male;2034.877
2016;Total labour force;Non-Saudis;Female;3029.032
2018;Total labour force;Non-Saudis;Female;3147.062
2021;Total labour force;Non-Saudis;Female;3570.046
