latitude,longitude,name
24.6507566,46.6789287,
24.6510781,46.6779839,
24.6340133,46.6802432,
24.6338685,46.6781342,
24.6338132,46.6790673,
24.6536422,46.6931452,
24.6127865,46.6847932,
24.5900885,46.6159424,
24.722142,46.7526067,
24.676578,46.7099641,
24.6528909,46.6430895,
24.6610455,46.6431187,
24.7313221,46.8693717,
24.7535794,46.8701602,
24.7535745,46.8711232,
24.7535763,46.8718238,
24.7522646,46.8725442,
24.8259785,46.5450259,
24.6806336,46.7090602,
24.6774583,46.720218,
24.6774927,46.7214037,
24.6753714,46.7176433,
24.6472673,46.73276,
24.5835007,46.7749163,حديقة
24.5775935,46.7830079,
24.5537361,46.787914,
24.6031866,46.7337253,
24.687791,46.7112956,
24.6865035,46.7030629,
24.7232937,46.7882106,
24.7297716,46.795596,
24.7264406,46.7887477,
24.719012,46.8106518,
24.7133177,46.8098607,
24.7103098,46.8120845,
24.7230444,46.8084771,
24.7099729,46.7832228,
24.7097105,46.7866474,
24.7148533,46.7943658,
24.7148417,46.7888009,
24.7013804,46.7928076,
24.6976574,46.7660238,AlRaja Park
24.6979951,46.7630298,
24.7067682,46.7629275,
24.6912714,46.7497606,
24.6768592,46.7509793,منتزة الجبل الشهباء
24.6785075,46.7520591,منتزة الهدا
24.6840088,46.7526396,حديقة الزمرد
24.7391472,46.6969128,الحديقة العلمية
24.7532178,46.7308283,
24.6131316,46.6873411,
24.604876,46.6488521,
24.9607836,46.7985231,المهرجان الوطني للتراث والثقافة بالجنادرية
24.5716291,46.6294492,
24.598736,46.5967023,
24.5871217,46.6325589,
24.5939293,46.6416263,
24.5791327,46.6544558,
24.5448989,46.6717319,ساحة البلدية
24.5723616,46.5827472,
24.5883389,46.5989427,
24.912711,46.4418082,ملعب العيينة
24.7294064,46.638751,
24.7298757,46.6382623,
24.5728679,46.6145583,حديقة السويدي الغربي الرابعة
24.5797047,46.5873409,واحة الملك سلمان للعلوم
24.5995032,46.6949717,واحة الملك سلمان للعلوم
24.6945652,46.7119563,
24.6005997,46.6303387,
24.7441695,46.6474522,حديقة البهاء
24.770348,46.7102929,
24.77145,46.7157409,حديقة الازدهار الثانية
24.7831593,46.7794324,
24.7483016,46.750227,
24.7434623,46.7496908,
24.7350024,46.7555134,
24.8154244,46.7026278,
24.8148034,46.7012132,
24.814037,46.7041724,
24.8134941,46.7028917,
24.8144294,46.6995829,
24.816068,46.7002903,
