dbn,school_name,latitude,longitude,finalgrades
05M670,Thurgood Marshall Academy for Learning and Social Change,40.815449,-73.944061,6 to 12
18K633,High School for Medical Professions,40.641474,-73.898254,9 to 12
02M489,High School of Economics and Finance,40.709196,-74.012022,9 to 12
31R450,Curtis High School,40.644735,-74.081222,9 to 12
29Q326,Cambria Heights Academy,40.711849,-73.771195,9 to 12
24Q293,Civic Leadership Academy,40.74373,-73.870642,9 to 12
08X432,Bronx Bridges High School,40.82229,-73.856167,9 to 12
02M298,Pace High School,40.716553,-73.993092,9 to 12
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",40.875916,-73.90111,9 to 12
11X514,The Bronxwood Preparatory Academy,40.887831,-73.852694,9 to 12
03M291,West End Secondary School,40.772007,-73.987479,6 to 11 - This school is expanding to serve grades 6 to 12.
02M580,Richard R. Green High School of Teaching,40.705024,-74.012977,9 to 12
10X440,DeWitt Clinton High School,40.882178,-73.88691,9 to 12
18K566,Brooklyn Community High School for Excellence and Equity,40.633285,-73.916735,9 to 12
27Q351,Rockaway Collegiate High School,40.586066,-73.822624,9 to 12
05M304,Mott Hall High School,40.817372,-73.947712,9 to 12
07X427,Community School for Social Justice,40.815938,-73.930386,9 to 12
15K667,Sunset Park High School,40.65571,-74.005197,9 to 12
13K595,Bedford Academy High School,40.68538,-73.954302,9 to 12
22K611,Origins High School,40.594124,-73.937696,9 to 12
24Q520,Middle College High School at LaGuardia Community College,40.744412,-73.93364,9 to 12
08X282,Women's Academy of Excellence,40.814833,-73.85658,9 to 12
26Q315,Business Technology Early College High School (BTECH),40.733066,-73.738756,9 to 14
04M435,Manhattan Center for Science and Mathematics,40.793856,-73.934028,9 to 12
21K410,Abraham Lincoln High School,40.581681,-73.967308,9 to 12
12X682,Fannie Lou Hamer Freedom High School,40.83087,-73.88626,9 to 12
13K439,Brooklyn International High School,40.697339,-73.985016,9 to 12
27Q309,Academy of Medical Technology: A College Board School,40.60201,-73.762795,6 to 12
14K449,The Brooklyn Latin School,40.709941,-73.943641,9 to 12
06M423,High School for Excellence and Innovation,40.866053,-73.924835,9 to 12
