district_ar_norm,district_lat,district_lon,district_ar
الوادي,24.78865304147059,46.693525017058825,الوادي
الناصرية,24.652367353333332,46.674889916666665,الناصرية
المرسلات,24.750389706923077,46.68817463384615,المرسلات
الغدير,24.7714779064,46.65858104,الغدير
العليا,24.693496517361112,46.685696592777774,العليا
المصيف,24.767827491923075,46.68313766615385,المصيف
ظهرة البديعة,24.596249653333334,46.64571012333333,ظهرة البديعة
إشبيلية,24.791888816153843,46.78771155538462,إشبيلية
السلي,24.663641319130434,46.84117619173913,السلي
نمار,24.576444327272725,46.68950185272727,نمار
بدر,24.543426460000003,46.708690986956526,بدر
النسيم الغربي,24.72566982117647,46.82423595568628,النسيم الغربي
أحد,24.48991739,46.630176506666665,أحد
العمل,24.644727748333334,46.717922630555556,العمل
الخير,24.86,46.78,الخير
النموذجية,24.66282757666667,46.69875254666667,النموذجية
الإسكان,24.56819106,46.83629093,الإسكان
الزهور,24.81,46.72,الزهور
النهضة,24.759511350666667,46.813074155,النهضة
عكاظ,24.526313496666667,46.66043722222222,عكاظ
القادسية,24.81928020666667,46.81816783888889,القادسية
مغرزات,24.76,46.56,مغرزات
الصفا,24.67170717666667,46.769980913333335,الصفا
المونسية,24.826536593225807,46.76839947451613,المونسية
المشاعل,24.618366362499998,46.853054764999996,المشاعل
الملك عبدالله,24.742177169999998,46.735978885,الملك عبدالله
المربع,24.66018277722222,46.707448236111105,المربع
أم سليم,24.63342935142857,46.696741454285714,أم سليم
الفيحاء,24.681703506153845,46.81206247307693,الفيحاء
الشفا,24.560776771666667,46.692998145416674,الشفا
العقيق,24.77742810909091,46.62818119441558,العقيق
الرسالة,24.715,46.59,الرسالة
الروضة,24.732872911999998,46.766723408000004,الروضة
الفرسان,25.00256539,47.20537115,الفرسان
السليمانية,24.69760600090909,46.70195120181818,السليمانية
جبرة,24.6233282375,46.722056785,جبرة
الملك فيصل,24.763953791333332,46.775219038,الملك فيصل
الروابي,24.69250999333333,46.786547686111106,الروابي
النظيم,24.810975342272727,46.88861423318181,النظيم
البديعة,24.619223142727275,46.68176991818182,البديعة
الخليج,24.774923496,46.80208266,الخليج
الوزارات,24.680431622222223,46.71346707666666,الوزارات
الدار البيضاء,24.5660977825,46.784781263125,الدار البيضاء
المعيزيلة,24.801115736666663,46.844918713333335,المعيزيلة
بنبان,25.0056833825,46.4994233225,بنبان
الفاخرية,24.63913764,46.681953565,الفاخرية
السعادة,24.697222724285716,46.84217212857143,السعادة
الإزدهار,24.778292894074074,46.7161993362963,الإزدهار
الراية,24.79,46.63,الراية
المنار,24.724004161,46.798829782,المنار
الربوة,24.690817156190477,46.756335212380954,الربوة
القيروان,24.832964286153846,46.59394553192308,القيروان
شبرا,24.57416798894737,46.666430913157896,شبرا
ظهرة لبن,24.63257433262295,46.54532483180328,ظهرة لبن
العريجاء الغربي,24.59040484757576,46.60108472363636,العريجاء الغربي
النرجس,24.843920017755103,46.67402080734694,النرجس
الحزم,24.5396824785,46.650755217,الحزم
الفيصلية,24.634215424285713,46.77561850285714,الفيصلية
ظهره العودة غرب - الدرعية,24.73887522,46.51646969,ظهره العودة غرب - الدرعية
