district,count,median_price_sqm,mean_price_sqm,median_area_sqm,median_price_sar,property_types
ظهرة البديعة,10,3285,3489,490.0,1815000,"Apartment, Plot, Villa"
البديعة,2,3272,3272,900.0,2945000,Villa
Al Marwah,2,3234,3234,561.3,1295000,"Apartment, Villa"
ALFAIHA,1,3232,3232,990.0,3200000,Plot
سلطانة,2,3071,3071,510.0,1550000,Villa
المشاعل,2,3062,3062,1023.8,3121445,Plot
Al Aziziyah,1,3012,3012,547.8,1650000,Villa
ضاحية نمار,50,2785,3093,450.0,1211000,"Apartment, Plot, Villa"
سكيرينة,1,2761,2761,163.0,450000,Apartment
الشفا,14,2722,3330,575.0,1500000,"Apartment, Building, Villa"
السلي,4,2600,2642,2651.8,6919954,Plot
الوسام,10,2500,4009,300.0,750000,"Apartment, Plot"
Utayqah,1,2488,2488,397.9,990000,Plot
An Nadheem,1,2383,2383,293.7,700000,Villa
عريض,34,2200,2543,441.0,989000,"Building, Plot, Villa"
الغنامية,13,2173,4014,275.2,1000000,"Plot, Villa"
Nayd Aljaranh,1,2140,2140,444.0,950000,Villa
المصفاة,10,2138,2042,672.7,1529771,Plot
الحائر,12,2093,3078,545.0,950025,"Plot, Villa"
اليمامة,1,2000,2000,199.2,398340,Plot
ALURAIJA,1,2000,2000,116.8,233700,Plot
Ash Shifa,1,1739,1739,1265.0,2200000,Villa
Qarih Dirab,1,1500,1500,3402.0,5103000,Plot
Al Khair,1,1500,1500,750.0,1125000,Plot
المشرق,8,1472,1549,870.0,997750,Plot
الازدهار,2,1363,1363,368.8,492500,"Plot, Villa"
Oraid,1,1300,1300,405.0,526500,Plot
Al Misfat,2,1042,1042,599.9,625096,Plot
الملك عبدالله,1,873,873,630.0,550000,Plot
الراية,8,866,831,841.7,745000,Plot
الزاهر,18,648,891,885.0,575000,Plot
Al Ula,1,632,632,1900.0,1200000,Plot
النخبة,8,582,1291,985.0,725000,"Plot, Villa"
العلا,22,553,761,757.2,421201,Plot
Al Sholah,1,534,534,750.0,400500,Plot
الرسالة,1,500,500,2071.0,1035500,Plot
Al Haer,1,500,500,450.0,225000,Plot
الشعلة,17,487,525,755.6,363000,Plot
Al Fursan,1,480,480,918.0,440640,Plot
Al Nakhbah,1,463,463,864.0,400032,Plot
الفرسان,4,425,3377,875.7,372500,Plot
البساتين,1,341,341,440.0,150000,Plot
قريه ديراب,1,300,300,2000.0,600000,Plot
